"","id.x","xcoord","ycoord","NM_MU","IVS_2000","IVS_INF_00","IVS_CPH_00","IVS_REN_00","IVS_2010","IVS_INF_10","IVS_CPH_10","IVS_REN_10","MASC","FEM","POP","DOM_OCU","Dens_Dom","Dens_hab","ocup_2000","ocup_2010","ocup_2018","Pop_Urbana","Pop_Rural","Pop_Total","Area","VTN_MED","URB_RURAL"
"1","F1810",-36.1287379212667,-7.9552932977223,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,79,81,160,48,0.001,0.003991425573004,1,0,0,17961,6942,24903,4488,2395.28,1
"2","F1811",-36.1287534536421,-7.95542294042614,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,79,81,160,48,0.001,0.003991425573004,1,0,0,17961,6942,24903,4488,2395.28,1
"3","F1811",-36.128764912855,-7.95551410743415,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,79,81,160,48,0.001,0.003991425573004,1,0,0,17961,6942,24903,4488,2395.28,1
"4","F1805",-36.1286836277324,-7.95445820854311,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,79,81,160,48,0.001,0.003991425573004,1,0,0,17961,6942,24903,4488,2395.28,1
"5","F1804",-36.1286651373545,-7.95429269525093,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,79,81,160,48,0.001,0.003991425573004,1,0,0,17961,6942,24903,4488,2395.28,1
"6","F1809",-36.1287334100008,-7.95525487381228,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,79,81,160,48,0.001,0.003991425573004,1,0,0,17961,6942,24903,4488,2395.28,1
"7","F1802",-36.1285672241922,-7.95357322950631,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,50,45,95,25,0.001,0.002369908205066,1,0,0,17961,6942,24903,4488,2395.28,1
"8","F1803",-36.1286124897077,-7.95390323257468,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,50,45,95,25,0.001,0.002369908205066,1,0,0,17961,6942,24903,4488,2395.28,1
"9","F1471",-36.1278515831585,-7.95413850313105,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,0,0,0,0,0,0,1,0,0,17961,6942,24903,4488,2395.28,1
"10","F1793",-36.1281127019436,-7.94910648044451,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,0,0,0,0,0,0,1,0,0,17961,6942,24903,4488,2395.28,1
"11","F1790",-36.1284160654366,-7.94887331710697,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,0,0,0,0,0,0,1,0,0,17961,6942,24903,4488,2395.28,1
"12","F1789",-36.128412951992,-7.94877806780946,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,3,2,5,1,0,0.000124732368219,1,0,0,17961,6942,24903,4488,2395.28,1
"13","F1788",-36.1284107794531,-7.94868575519778,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,3,2,5,1,0,0.000124732368219,1,0,0,17961,6942,24903,4488,2395.28,1
"14","F1787",-36.1284161908178,-7.9484727715569,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,3,2,5,1,0,0.000124732368219,1,0,0,17961,6942,24903,4488,2395.28,1
"15","F1829",-36.1219441984842,-7.93614856691487,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,5,6,11,2,0,0.000274413633471,1,0,0,17961,6942,24903,4488,2395.28,1
